ts,name,cpu_perc,mem_usage,mem_perc,pids
2025-09-14 20:14:00,react-csr,0.00%,8.195MiB / 1GiB,0.80%,7
2025-09-14 20:14:03,react-csr,0.00%,8.195MiB / 1GiB,0.80%,7
2025-09-14 20:14:05,react-csr,0.00%,8.195MiB / 1GiB,0.80%,7
2025-09-14 20:14:08,react-csr,0.00%,8.195MiB / 1GiB,0.80%,7
2025-09-14 20:14:10,react-csr,0.00%,8.195MiB / 1GiB,0.80%,7
2025-09-14 20:14:13,react-csr,0.00%,8.195MiB / 1GiB,0.80%,7
2025-09-14 20:14:15,react-csr,0.00%,8.195MiB / 1GiB,0.80%,7
2025-09-14 20:14:18,react-csr,0.00%,8.195MiB / 1GiB,0.80%,7
2025-09-14 20:14:20,react-csr,0.00%,8.195MiB / 1GiB,0.80%,7
2025-09-14 20:14:23,react-csr,0.00%,8.195MiB / 1GiB,0.80%,7
2025-09-14 20:14:26,react-csr,0.00%,8.195MiB / 1GiB,0.80%,7
2025-09-14 20:14:28,react-csr,0.00%,8.195MiB / 1GiB,0.80%,7
2025-09-14 20:14:31,react-csr,0.00%,8.195MiB / 1GiB,0.80%,7
2025-09-14 20:14:33,react-csr,0.00%,8.195MiB / 1GiB,0.80%,7
2025-09-14 20:14:36,react-csr,0.00%,8.195MiB / 1GiB,0.80%,7
2025-09-14 20:14:38,react-csr,0.00%,8.195MiB / 1GiB,0.80%,7
2025-09-14 20:14:41,react-csr,0.00%,8.195MiB / 1GiB,0.80%,7
2025-09-14 20:14:43,react-csr,0.00%,8.195MiB / 1GiB,0.80%,7
2025-09-14 20:14:46,react-csr,0.00%,8.195MiB / 1GiB,0.80%,7
2025-09-14 20:14:49,react-csr,0.00%,8.195MiB / 1GiB,0.80%,7
2025-09-14 20:14:51,react-csr,0.00%,9.68MiB / 1GiB,0.95%,11
2025-09-14 20:14:54,react-csr,0.00%,9.738MiB / 1GiB,0.95%,11
2025-09-14 20:14:56,react-csr,0.03%,9.738MiB / 1GiB,0.95%,11
2025-09-14 20:14:59,react-csr,0.00%,9.734MiB / 1GiB,0.95%,11
2025-09-14 20:15:01,react-csr,0.00%,9.734MiB / 1GiB,0.95%,11
2025-09-14 20:15:04,react-csr,0.00%,9.734MiB / 1GiB,0.95%,11
2025-09-14 20:15:06,react-csr,0.00%,9.734MiB / 1GiB,0.95%,11
2025-09-14 20:15:09,react-csr,0.00%,9.73MiB / 1GiB,0.95%,11
2025-09-14 20:15:11,react-csr,0.36%,9.855MiB / 1GiB,0.96%,11
2025-09-14 20:15:14,react-csr,0.00%,9.855MiB / 1GiB,0.96%,11
2025-09-14 20:15:17,react-csr,0.39%,9.918MiB / 1GiB,0.97%,11
2025-09-14 20:15:19,react-csr,0.36%,9.98MiB / 1GiB,0.97%,11
2025-09-14 20:15:22,react-csr,0.00%,9.98MiB / 1GiB,0.97%,11
2025-09-14 20:15:24,react-csr,0.02%,10.07MiB / 1GiB,0.98%,11
2025-09-14 20:15:27,react-csr,0.05%,10.07MiB / 1GiB,0.98%,11
2025-09-14 20:15:29,react-csr,0.06%,10.07MiB / 1GiB,0.98%,11
2025-09-14 20:15:32,react-csr,0.00%,10.07MiB / 1GiB,0.98%,11
2025-09-14 20:15:34,react-csr,0.00%,10.07MiB / 1GiB,0.98%,11
2025-09-14 20:15:37,react-csr,2.19%,9.312MiB / 1GiB,0.91%,11
2025-09-14 20:15:40,react-csr,0.19%,10.23MiB / 1GiB,1.00%,11
2025-09-14 20:15:42,react-csr,0.00%,10.23MiB / 1GiB,1.00%,11
2025-09-14 20:15:45,react-csr,0.06%,8.668MiB / 1GiB,0.85%,11
2025-09-14 20:15:47,react-csr,0.00%,8.664MiB / 1GiB,0.85%,11
2025-09-14 20:15:50,react-csr,0.00%,8.77MiB / 1GiB,0.86%,11
2025-09-14 20:15:52,react-csr,0.00%,8.77MiB / 1GiB,0.86%,11
2025-09-14 20:15:55,react-csr,0.38%,8.824MiB / 1GiB,0.86%,11
2025-09-14 20:15:57,react-csr,0.23%,9.797MiB / 1GiB,0.96%,11
2025-09-14 20:16:00,react-csr,0.00%,9.801MiB / 1GiB,0.96%,11
2025-09-14 20:16:02,react-csr,0.08%,9.797MiB / 1GiB,0.96%,11
2025-09-14 20:16:05,react-csr,0.00%,9.793MiB / 1GiB,0.96%,11
2025-09-14 20:16:08,react-csr,0.00%,9.793MiB / 1GiB,0.96%,11
2025-09-14 20:16:10,react-csr,0.00%,9.793MiB / 1GiB,0.96%,11
2025-09-14 20:16:13,react-csr,0.00%,9.793MiB / 1GiB,0.96%,11
2025-09-14 20:16:15,react-csr,0.00%,9.793MiB / 1GiB,0.96%,11
2025-09-14 20:16:18,react-csr,0.00%,9.793MiB / 1GiB,0.96%,11
2025-09-14 20:16:20,react-csr,0.00%,9.879MiB / 1GiB,0.96%,11
2025-09-14 20:16:23,react-csr,0.00%,9.93MiB / 1GiB,0.97%,11
2025-09-14 20:16:25,react-csr,0.27%,9.977MiB / 1GiB,0.97%,11
2025-09-14 20:16:28,react-csr,0.01%,9.977MiB / 1GiB,0.97%,11
2025-09-14 20:16:30,react-csr,2.18%,10.8MiB / 1GiB,1.05%,11
2025-09-14 20:16:33,react-csr,0.20%,10.95MiB / 1GiB,1.07%,11
2025-09-14 20:16:36,react-csr,0.00%,8.828MiB / 1GiB,0.86%,11
2025-09-14 20:16:38,react-csr,0.23%,9.754MiB / 1GiB,0.95%,11
2025-09-14 20:16:41,react-csr,0.00%,9.754MiB / 1GiB,0.95%,11
2025-09-14 20:16:43,react-csr,0.09%,9.762MiB / 1GiB,0.95%,11
2025-09-14 20:16:46,react-csr,0.00%,9.762MiB / 1GiB,0.95%,11
2025-09-14 20:16:48,react-csr,0.00%,9.758MiB / 1GiB,0.95%,11
2025-09-14 20:16:53,react-csr,0.00%,9.758MiB / 1GiB,0.95%,11
2025-09-14 20:16:56,react-csr,0.02%,9.758MiB / 1GiB,0.95%,11
